customer_id,customer_email,customer_name,customer_surname,customer_area,customer_state
CUST00001,cvoller0@nps.gov,Carolin,Voller,Darwin,NT
CUST00002,gmariaud1@google.ru,Gaby,Mariaud,Central Coast,NSW
CUST00003,ftwizell2@microsoft.com,Faythe,Twizell,Ballarat,VIC
CUST00004,kmarsh3@yelp.com,Kerstin,Marsh,Broken Hill,NSW
CUST00005,nsebrens4@over-blog.com,Nichole,Sebrens,Kalgoorlie,WA
CUST00006,eloachhead5@ifeng.com,Elspeth,Loachhead,Coffs Harbour,NSW
CUST00007,mrennenbach6@nifty.com,Malia,Rennenbach,Townsville,QLD
CUST00008,tloades7@google.nl,Tristan,Loades,Sydney,NSW
CUST00009,lmabbitt8@dedecms.com,Letty,Mabbitt,Dubbo,NSW
CUST00010,clinneman9@hao123.com,Clarabelle,Linneman,Hervey Bay,QLD
CUST00011,achillcota@washington.edu,Alphonse,Chillcot,Sydney,NSW
CUST00012,bgreastyb@admin.ch,Belicia,Greasty,Bendigo,VIC
CUST00013,tdecarteretc@wufoo.com,Tris,De Carteret,Dubbo,NSW
CUST00014,wcleveleyd@jigsy.com,Willie,Cleveley,Coffs Harbour,NSW
CUST00015,fbagleye@amazonaws.com,Fabien,Bagley,Brisbane,QLD
CUST00016,zcarmenf@cornell.edu,Zebulen,Carmen,Cairns,QLD
CUST00017,nkubang@tripod.com,Nike,Kuban,Darwin,NT
CUST00018,kelgeeh@pcworld.com,Kamillah,Elgee,Port Lincoln,SA
CUST00019,fleppoi@devhub.com,Fan,Leppo,Adelaide,SA
CUST00020,cferraraj@shutterfly.com,Clark,Ferrara,Geelong,VIC
CUST00021,bscriverk@npr.org,Brandise,Scriver,Coffs Harbour,NSW
CUST00022,hcassyl@ocn.ne.jp,Hetty,Cassy,Brisbane,QLD
CUST00023,mmorpethm@phoca.cz,Mada,Morpeth,Perth,WA
CUST00024,ehonschn@youku.com,Eydie,Honsch,Melbourne,VIC
CUST00025,acrummayo@mlb.com,Antonin,Crummay,Sydney,NSW
CUST00026,cmarczykp@canalblog.com,Cornelia,Marczyk,Newcastle,NSW
CUST00027,aculverhouseq@ucla.edu,Alexandrina,Culverhouse,Byron Bay,NSW
CUST00028,ematicr@clickbank.net,Edi,Matic,Sydney,NSW
CUST00029,csands@unblog.fr,Cynde,Sand,Bunbury,WA
CUST00030,ecancellariot@mozilla.org,Emmit,Cancellario,Shepparton,VIC
CUST00031,mmoggieu@mysql.com,Myrvyn,Moggie,Sydney,NSW
CUST00032,lmontfordv@sohu.com,Lilas,Montford,Melbourne,VIC
CUST00033,egoriw@constantcontact.com,Essy,Gori,Wagga Wagga,NSW
CUST00034,ssawellx@spotify.com,Shandee,Sawell,Rockhampton,QLD
CUST00035,pgamily@nyu.edu,Paige,Gamil,Brisbane,QLD
CUST00036,cbennisz@multiply.com,Corrina,Bennis,Ballarat,VIC
CUST00037,srickesies10@youtu.be,Sophia,Rickesies,Warrnambool,VIC
CUST00038,msells11@gov.uk,Mose,Sells,Brisbane,QLD
CUST00039,eputson12@twitter.com,Ede,Putson,Rockhampton,QLD
CUST00040,nyeandel13@cnn.com,Nettie,Yeandel,Sale,VIC
CUST00041,mdoick14@salon.com,Maris,Doick,Sale,VIC
CUST00042,tmars15@constantcontact.com,Tonya,Mars,Shepparton,VIC
CUST00043,sfaers16@sogou.com,Sunny,Faers,Central Coast,NSW
CUST00044,acowdery17@cornell.edu,Alleen,Cowdery,Coffs Harbour,NSW
CUST00045,lcrosswaite18@facebook.com,Leticia,Crosswaite,Byron Bay,NSW
CUST00046,fgaffney19@sitemeter.com,Faydra,Gaffney,Brisbane,QLD
CUST00047,lslaight1a@hugedomains.com,Lauree,Slaight,Adelaide,SA
CUST00048,jkemet1b@webeden.co.uk,Josy,Kemet,Sydney,NSW
CUST00049,ypennycuick1c@stumbleupon.com,Yalonda,Pennycuick,Devonport,TAS
CUST00050,amcmillam1d@answers.com,Abdul,McMillam,Sale,VIC
