seller_id,seller_user,seller_name,seller_surname,seller_email,seller_area,seller_state
SELL0001,beauty4everyone,Mariah,Davila,mdavila8@gmail.com,Cloncurry,VIC
SELL0002,wan-yifu,Li,Mei,lmei@hotmail.com,Adelaide,SA
SELL0003,electroshop,Persephone,Horne,electroshop@aol.com,Albany,WA
SELL0004,nol6svwlnf,Zee,Dodson,nol6svwlnf@optusnet.com.au,Gawler,SA
SELL0005,pensandthings,Etta,Conway,ett-conway72@gmail.com,Launceston,TAS
SELL0006,toysyay,Oliver,Flowers,oflowers7@microsoft.com,Bendigo,VIC
SELL0007,healthy_habits,Ariya,Harmon,healthy_habits@gmail.com,Townsville,QLD
SELL0008,peterpiper,Peter,Stafford,peter-stafford1982@gmail.com,Winton,QLD
SELL0009,bootsandcamping,Bridget,Fisher,bridget_fisher@microsoft.com,Toowoomba,QLD
SELL0010,hobbylobby,Gordon,O'Flannagan,hobbylobby@microsoft.com,Melbourne,VIC
SELL0011,dr-green,Giuliana,Green,ggreen@optusnet.com.au,Brisbane,QLD
SELL0012,jane-outside,Jane,Little,jane-little@gmail.com,Kalgoorlie,WA
SELL0013,slln3xj7zl,Alice,Daniels,alidaniels58@gmail.com,Adelaide,SA
SELL0014,gardenandco,Xander,Lester,xlester@hotmail.com,Canberra,ACT
SELL0015,outhomelovely,Averi,Glenn,aglenn@hotmail.com,Newcastle,NSW
SELL0016,abracadabra_002,Zaid,Blake,zaid-blake@gmail.com,Strahan,TAS
SELL0017,7e16xoz37j,Amanda,Doyle,adoyle8@live.au,Rockhampton,QLD
SELL0018,darwin_beauty,Karly,Bowers,k.bowers@gmail.com,Darwin,NT
SELL0019,buyingtime,Elisa,Foster,elisa_foster1993@gmail.com,Mareeba,QLD
SELL0020,staion-bonanza,Christian,McDonald,staion-bonanza@hotmail.com,Darwin,NT
SELL0021,stuff-on-sale,Daisy,Cano,dcano@hotmail.com,Melbourne,VIC
SELL0022,g5x9v55sct,Terry,Gibbs,tgibbs5@microsoft.com,Bunbury,WA
SELL0023,cleaning_out_my_shed,Colin,Curry,c.curry@gmail.com,Bendigo,VIC
SELL0024,ELEC25B,Bonnie,Hunt,elec25b@microsoft.com,Geelong,VIC
SELL0025,clothes832,Genevieve,Grimes,genevievegrimes2002@microsoft.com,Geelong,VIC
SELL0026,buyeverything-1,Harry,Sawyer,h.sawyer@gmail.com,Orange,NSW
SELL0027,home458,Marina,Delacruz,mdelacruz9@hotmail.com,Port Lincoln,QLD
SELL0028,goodsahoy,Archie,Pearson,arc-pearson56@microsoft.com,Katherine,NT
SELL0029,general-goods,Ciara,Fletcher,ciara-fletcher@optusnet.com.au,Adelaide,SA
SELL0030,liz1974,Jay,Davila,jay-davila@aol.com,Darwin,NT
SELL0031,keepwells,Micah,Rewiti,micahrewiti@gmail.com,Bendigo,VIC
SELL0032,buydongxi25,Raymond,Wu,rwu@hotmail.com,Geelong,VIC
SELL0033,1bt8plshsf,Adelynn,Coleman,acoleman2@microsoft.com,Broken Hill,NSW
SELL0034,outer40,Thaddeus,Arellano,tarellano2@hotmail.com,Strahan,NT
SELL0035,maddie-sells,Faye,Rivers,frivers4@microsoft.com,Canberra,ACT
SELL0036,goodqualityemporium,Barry,Rosas,barry.rosas1991@live.au,Darwin,NT
SELL0037,storeshop,Joelle,Soto,joelle.soto2006@gmail.com,Geelong,VIC
SELL0038,compradadonut,Barrett,Pomare,b.pomare@microsoft.com,Winton,SA
SELL0039,zmkizlf6t6,Haley,Adams,hadams@hotmail.com,Penguin,QLD
SELL0040,cheapandgood27,Harry,Frank,har.frank79@gmail.com,Hobart,TAS
SELL0041,wcs62ctlxh,Malaysia,Combs,mcombs5@gmail.com,Port Lincoln,NT
SELL0042,beauty490,Ahmad,Burgess,beauty490@aol.com,Karratha,WA
SELL0043,g9x1rt9dw8,Emilia-Jane,Little,elittle9@aol.com,Karratha,WA
SELL0044,everything_nmore,Lenny,Norris,lennorris54@gmail.com,Gold Coast,QLD
SELL0045,s22ods7z5m,Arielle,Holt,aholt1@microsoft.com,Strahan,NT
SELL0046,find_what_u_need,Niko,Peralta,niko_peralta@gmail.com,Launceston,TAS
SELL0047,toymajoy,Michaela,Vo,michaela-vo@gmail.com,Darwin,NT
SELL0048,jy9binq4v9,Gordon,Friedman,gor_friedman60@gmail.com,Port Lincoln,VIC
SELL0049,beautifullife472,Ben,Lawson,blawson@hotmail.com,Geelong,VIC
SELL0050,m5meym5ci2,Leila,Hahn,lhahn9@aol.com,Canberra,ACT
SELL0051,healthway,Felicity,Lynch,flynch@gmail.com,Winton,NT
SELL0052,qih5ceral2,Zane,El-Hadj,qih5ceral2@microsoft.com,Perth,WA
SELL0053,homedeliver,Frances,Parker,frances-parker1987@microsoft.com,Canberra,ACT
SELL0054,b8iv8o4c65,Caleb,Griffiths,cgriffiths@gmail.com,Canberra,ACT
SELL0055,hill25doors,Alicia,Ibarra,a.ibarra@hotmail.com,Broken Hill,NSW
SELL0056,feelgood_attire,Asa,Michael,asa-michael67@live.au,Fremantle,WA
SELL0057,buildmydream,Antonella,Hansen,buildmydream@gmail.com,Devonport,TAS
SELL0058,au6ynzdcy5,Charlie,Harmon,charmon9@gmail.com,Mareeba,QLD
SELL0059,glitterymagpie,Maeve,Hull,maeve-hull@microsoft.com,Wollongong,NSW
SELL0060,shop689,Salem,Bass,salbass61@gmail.com,Melbourne,VIC
SELL0061,ky7urd3k6y,Zahra,Mejia,zah-mejia78@hotmail.com,Port Lincoln,VIC
SELL0062,queenslandqweenie,Lara,McGuire,laramcguire@gmail.com,Gold Coast,QLD
SELL0063,uqcoiiv4s9,April,Lindsey,aprlindsey58@hotmail.com,Adelaide,SA
SELL0064,fungamesandtoys,Jason,Simons,j.simons@microsoft.com,Port Augusta,SA
SELL0065,fq9rb8o3qr,Kayleigh,Schultz,kschultz5@live.au,Canberra,ACT
SELL0066,healthcarehelp,Colby,Long,colbylong2007@gmail.com,Shepparton,VIC
SELL0067,w71bv3mee1,Jade,Kaur,jadekaur2006@hotmail.com,Winton,WA
SELL0068,wearitall,Augustine,Fernandez,augustinefernandez2007@gmail.com,Devonport,TAS
SELL0069,barbievend,Amara,Rich,a.rich@hotmail.com,Inverell,VIC
SELL0070,homeandaways,Mohamed,Russell,mohamed-russell2003@gmail.com,Townsville,QLD
SELL0071,trueyou55,Raelynn,Smith,trueyou55@gmail.com,Ballarat,VIC
SELL0072,swanium,Ronan,Swan,ronan_swan1973@microsoft.com,Canberra,ACT
